а именно	namely
а между тем	and yet
а не то	and not
а также	well as
а также	and also
а также и	well as the
а то и	or even
благодаря тому что	due to the fact that
благодаря чему	thanks to which
благодаря чему	due to which
будто бы	though
будь то	whether
будь то	whether it
будь то	be it
будь то	whether it ’
будь то	whether it is
будь то	whether it's
в противном случае	otherwise
в силу того что	due to the fact that
в случае если	in case
в то время как	while
в то время как	while the
в то время как	whereas
в том случае если	in the event that
в том числе	including
в том числе и	including the
ввиду того что	due to the fact that
вместо того чтобы	instead of
все равно как	like
все равно что	like
вследствие чего	result of which
да и то	and even then
для того чтобы	in order to
до тех пор пока	so long as
до того как	before the
если только	unless
если только	if only
если только	unless the
как будто	as if
как будто	as though
как только	once
как только	as soon as
как только	as soon
когда бы	whenever
коль скоро	since
лишь бы	just to
мало того что	not only that
несмотря на то что	despite the fact that
перед тем как	before you
по мере того как	as the
подобно тому как	just as
после того как	after the
после чего	after which
постольку поскольку	insofar as
постольку поскольку	in so far as
пусть бы	let
разве только	except
разве что	except that
с тем чтобы	in order to
с тем чтобы	so that
с тех пор как	ever since
то бишь	i mean
то есть	that is
то есть	i.e
тогда как	whereas
тогда как	while the
чем больше	the more
чем больше	the greater
что касается	as for
что касается	as for the
